Designator,Mid X,Mid Y,Rotation,Layer
BT1,110.617,-81.28,45.0,bottom
BZ1,80.6675,-75.439,0.0,bottom
C1,99.9925,-97.689,0.0,bottom
C2,100.096,-102.515,180.0,bottom
C3,99.969,-100.737,180.0,bottom
D1,86.6648,-62.8396,11.0,top
D10,59.944,-113.1824,113.0,top
D11,63.3984,-119.5832,124.0,top
D12,67.9196,-125.0925,135.0,top
D13,73.66,-129.7686,146.0,top
D14,80.3148,-133.2706,158.0,top
D15,86.487,-135.128,169.0,top
D16,101.3206,-135.1534,191.0,top
D17,107.95,-133.1754,203.0,top
D18,114.427,-129.7178,214.0,top
D19,120.0912,-125.095,225.0,top
D2,79.9338,-64.897,23.0,top
D20,124.7394,-119.4308,236.0,top
D21,128.0922,-113.1062,248.0,top
D22,130.1242,-106.5276,259.0,top
D23,130.9116,-99.0092,270.0,top
D24,130.175,-91.7194,281.0,top
D25,128.1176,-84.9376,293.0,top
D26,124.841,-78.74,304.0,top
D27,120.0912,-72.898,315.0,top
D28,114.4778,-68.3006,326.0,top
D29,107.8738,-64.7954,338.0,top
D3,73.8632,-68.072,34.0,top
D30,101.3968,-62.8396,349.0,top
D4,67.7926,-73.025,45.0,top
D5,63.2968,-78.5368,56.0,top
D6,59.7694,-85.217,68.0,top
D7,57.8358,-91.5924,79.0,top
D8,57.0992,-99.0115,90.0,top
D9,57.8307,-106.3244,101.0,top
Q1,61.8975,-98.425,0.0,bottom
Q2,61.8975,-102.235,0.0,bottom
Q3,126.6675,-102.235,180.0,bottom
Q4,126.6675,-98.298,180.0,bottom
Q5,81.9375,-79.95,180.0,bottom
R1,99.9925,-99.213,0.0,bottom
R10,64.643,-98.4015,90.0,bottom
R11,64.643,-102.2115,90.0,bottom
R12,123.698,-102.1455,270.0,bottom
R13,123.795,-98.4015,270.0,bottom
R14,78.74,-80.01,270.0,bottom
R15,100.33,-130.683,90.0,bottom
R2,84.1775,-105.664,0.0,bottom
R3,84.1775,-104.14,0.0,bottom
R4,84.1775,-102.616,0.0,bottom
R5,84.154,-101.092,0.0,bottom
R6,84.154,-99.568,0.0,bottom
R7,84.154,-98.044,0.0,bottom
R8,84.154,-96.52,0.0,bottom
R9,84.154,-94.996,0.0,bottom
SW1,94.0054,-136.2964,0.0,bottom
SW2,93.98,-130.81,0.0,bottom
U1,94.0,-100.0,0.0,bottom
